Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
Мессье;NGC;Созвездие;Тип объекта;Число звёзд;Название
M 1[2];NGC 1952;Телец;Остаток сверхновой;;Крабовидная туманность
M 2[3];NGC 7089;Водолей;Шаровое скопление;;
M 3[4];NGC 5272;Гончие Псы;Шаровое скопление;;
M 4[5];NGC 6121;Скорпион;Шаровое скопление;;Скопление Кошачий Глаз
M 5[6];NGC 5904;Змея;Шаровое скопление;;
M 6[7];NGC 6405;Скорпион;Рассеянное скопление;80;Скопление Бабочка
